# Vai A500 - A63F
A500	v-vaisyllableee	VAI SYLLABLE EE
A52D	v-vaisyllablembi	VAI SYLLABLE MBI
A52E	v-vaisyllablekpi	VAI SYLLABLE KPI
A52F	v-vaisyllablemgbi	VAI SYLLABLE MGBI
A530	v-vaisyllablegbi	VAI SYLLABLE GBI
A531	v-vaisyllablefi	VAI SYLLABLE FI
A532	v-vaisyllablevi	VAI SYLLABLE VI
A533	v-vaisyllableti	VAI SYLLABLE TI
A534	v-vaisyllablethi	VAI SYLLABLE THI
A535	v-vaisyllabledhi	VAI SYLLABLE DHI
A536	v-vaisyllabledhhi	VAI SYLLABLE DHHI
A537	v-vaisyllableli	VAI SYLLABLE LI
A538	v-vaisyllableri	VAI SYLLABLE RI
A539	v-vaisyllabledi	VAI SYLLABLE DI
A53A	v-vaisyllablendi	VAI SYLLABLE NDI
A53B	v-vaisyllablesi	VAI SYLLABLE SI
A53C	v-vaisyllableshi	VAI SYLLABLE SHI
A53D	v-vaisyllablezi	VAI SYLLABLE ZI
A53E	v-vaisyllablezhi	VAI SYLLABLE ZHI
A53F	v-vaisyllableci	VAI SYLLABLE CI
A540	v-vaisyllableji	VAI SYLLABLE JI
A541	v-vaisyllablenji	VAI SYLLABLE NJI
A542	v-vaisyllableyi	VAI SYLLABLE YI
A543	v-vaisyllableki	VAI SYLLABLE KI
A544	v-vaisyllablenggi	VAI SYLLABLE NGGI
A545	v-vaisyllablegi	VAI SYLLABLE GI
A546	v-vaisyllablemi	VAI SYLLABLE MI
A547	v-vaisyllableni	VAI SYLLABLE NI
A548	v-vaisyllablenyi	VAI SYLLABLE NYI
A549	v-vaisyllablea	VAI SYLLABLE A
A54A	v-vaisyllablean	VAI SYLLABLE AN
A54B	v-vaisyllablengan	VAI SYLLABLE NGAN
A54C	v-vaisyllableha	VAI SYLLABLE HA
A54D	v-vaisyllablehan	VAI SYLLABLE HAN
A54E	v-vaisyllablewa	VAI SYLLABLE WA
A54F	v-vaisyllablewan	VAI SYLLABLE WAN
A550	v-vaisyllablepa	VAI SYLLABLE PA
A551	v-vaisyllablebha	VAI SYLLABLE BHA
A552	v-vaisyllableba	VAI SYLLABLE BA
A553	v-vaisyllablemba	VAI SYLLABLE MBA
A554	v-vaisyllablekpa	VAI SYLLABLE KPA
A555	v-vaisyllablekpan	VAI SYLLABLE KPAN
A556	v-vaisyllablemgba	VAI SYLLABLE MGBA
A557	v-vaisyllablegba	VAI SYLLABLE GBA
A558	v-vaisyllablefa	VAI SYLLABLE FA
A559	v-vaisyllableva	VAI SYLLABLE VA
A55A	v-vaisyllableta	VAI SYLLABLE TA
A55B	v-vaisyllabletha	VAI SYLLABLE THA
A55C	v-vaisyllabledha	VAI SYLLABLE DHA
A55D	v-vaisyllabledhha	VAI SYLLABLE DHHA
A55E	v-vaisyllablela	VAI SYLLABLE LA
A55F	v-vaisyllablera	VAI SYLLABLE RA
A560	v-vaisyllableda	VAI SYLLABLE DA
A561	v-vaisyllablenda	VAI SYLLABLE NDA
A562	v-vaisyllablesa	VAI SYLLABLE SA
A563	v-vaisyllablesha	VAI SYLLABLE SHA
A564	v-vaisyllableza	VAI SYLLABLE ZA
A565	v-vaisyllablezha	VAI SYLLABLE ZHA
A566	v-vaisyllableca	VAI SYLLABLE CA
A567	v-vaisyllableja	VAI SYLLABLE JA
A568	v-vaisyllablenja	VAI SYLLABLE NJA
A569	v-vaisyllableya	VAI SYLLABLE YA
A56A	v-vaisyllableka	VAI SYLLABLE KA
A56B	v-vaisyllablekan	VAI SYLLABLE KAN
A56C	v-vaisyllablengga	VAI SYLLABLE NGGA
A56D	v-vaisyllablega	VAI SYLLABLE GA
A56E	v-vaisyllablema	VAI SYLLABLE MA
A56F	v-vaisyllablena	VAI SYLLABLE NA
A570	v-vaisyllablenya	VAI SYLLABLE NYA
A571	v-vaisyllableoo	VAI SYLLABLE OO
A572	v-vaisyllableoon	VAI SYLLABLE OON
A573	v-vaisyllablehoo	VAI SYLLABLE HOO
A574	v-vaisyllablewoo	VAI SYLLABLE WOO
A575	v-vaisyllablewoon	VAI SYLLABLE WOON
A576	v-vaisyllablepoo	VAI SYLLABLE POO
A577	v-vaisyllablebhoo	VAI SYLLABLE BHOO
A578	v-vaisyllableboo	VAI SYLLABLE BOO
A579	v-vaisyllablemboo	VAI SYLLABLE MBOO
A57A	v-vaisyllablekpoo	VAI SYLLABLE KPOO
A57B	v-vaisyllablemgboo	VAI SYLLABLE MGBOO
A57C	v-vaisyllablegboo	VAI SYLLABLE GBOO
A57D	v-vaisyllablefoo	VAI SYLLABLE FOO
A57E	v-vaisyllablevoo	VAI SYLLABLE VOO
A57F	v-vaisyllabletoo	VAI SYLLABLE TOO
A580	v-vaisyllablethoo	VAI SYLLABLE THOO
A581	v-vaisyllabledhoo	VAI SYLLABLE DHOO
A582	v-vaisyllabledhhoo	VAI SYLLABLE DHHOO
A583	v-vaisyllableloo	VAI SYLLABLE LOO
A584	v-vaisyllableroo	VAI SYLLABLE ROO
A585	v-vaisyllabledoo	VAI SYLLABLE DOO
A586	v-vaisyllablendoo	VAI SYLLABLE NDOO
A587	v-vaisyllablesoo	VAI SYLLABLE SOO
A588	v-vaisyllableshoo	VAI SYLLABLE SHOO
A589	v-vaisyllablezoo	VAI SYLLABLE ZOO
A58A	v-vaisyllablezhoo	VAI SYLLABLE ZHOO
A58B	v-vaisyllablecoo	VAI SYLLABLE COO
A58C	v-vaisyllablejoo	VAI SYLLABLE JOO
A58D	v-vaisyllablenjoo	VAI SYLLABLE NJOO
A58E	v-vaisyllableyoo	VAI SYLLABLE YOO
A58F	v-vaisyllablekoo	VAI SYLLABLE KOO
A590	v-vaisyllablenggoo	VAI SYLLABLE NGGOO
A591	v-vaisyllablegoo	VAI SYLLABLE GOO
A592	v-vaisyllablemoo	VAI SYLLABLE MOO
A593	v-vaisyllablenoo	VAI SYLLABLE NOO
A594	v-vaisyllablenyoo	VAI SYLLABLE NYOO
A595	v-vaisyllableu	VAI SYLLABLE U
A596	v-vaisyllableun	VAI SYLLABLE UN
A597	v-vaisyllablehu	VAI SYLLABLE HU
A598	v-vaisyllablehun	VAI SYLLABLE HUN
A599	v-vaisyllablewu	VAI SYLLABLE WU
A59A	v-vaisyllablewun	VAI SYLLABLE WUN
A59B	v-vaisyllablepu	VAI SYLLABLE PU
A59C	v-vaisyllablebhu	VAI SYLLABLE BHU
A59D	v-vaisyllablebu	VAI SYLLABLE BU
A59E	v-vaisyllablembu	VAI SYLLABLE MBU
A59F	v-vaisyllablekpu	VAI SYLLABLE KPU
A5A0	v-vaisyllablemgbu	VAI SYLLABLE MGBU
A5A1	v-vaisyllablegbu	VAI SYLLABLE GBU
A5A2	v-vaisyllablefu	VAI SYLLABLE FU
A5A3	v-vaisyllablevu	VAI SYLLABLE VU
A5A4	v-vaisyllabletu	VAI SYLLABLE TU
A5A5	v-vaisyllablethu	VAI SYLLABLE THU
A5A6	v-vaisyllabledhu	VAI SYLLABLE DHU
A5A7	v-vaisyllabledhhu	VAI SYLLABLE DHHU
A5A8	v-vaisyllablelu	VAI SYLLABLE LU
A5A9	v-vaisyllableru	VAI SYLLABLE RU
A5AA	v-vaisyllabledu	VAI SYLLABLE DU
A5AB	v-vaisyllablendu	VAI SYLLABLE NDU
A5AC	v-vaisyllablesu	VAI SYLLABLE SU
A5AD	v-vaisyllableshu	VAI SYLLABLE SHU
A5AE	v-vaisyllablezu	VAI SYLLABLE ZU
A5AF	v-vaisyllablezhu	VAI SYLLABLE ZHU
A5B0	v-vaisyllablecu	VAI SYLLABLE CU
A5B1	v-vaisyllableju	VAI SYLLABLE JU
A5B2	v-vaisyllablenju	VAI SYLLABLE NJU
A5B3	v-vaisyllableyu	VAI SYLLABLE YU
A5B4	v-vaisyllableku	VAI SYLLABLE KU
A5B5	v-vaisyllablenggu	VAI SYLLABLE NGGU
A5B6	v-vaisyllablegu	VAI SYLLABLE GU
A5B7	v-vaisyllablemu	VAI SYLLABLE MU
A5B8	v-vaisyllablenu	VAI SYLLABLE NU
A5B9	v-vaisyllablenyu	VAI SYLLABLE NYU
A5BA	v-vaisyllableo	VAI SYLLABLE O
A5BB	v-vaisyllableon	VAI SYLLABLE ON
A5BC	v-vaisyllablengon	VAI SYLLABLE NGON
A5BD	v-vaisyllableho	VAI SYLLABLE HO
A5BE	v-vaisyllablehon	VAI SYLLABLE HON
A5BF	v-vaisyllablewo	VAI SYLLABLE WO
A5C0	v-vaisyllablewon	VAI SYLLABLE WON
A5C1	v-vaisyllablepo	VAI SYLLABLE PO
A5C2	v-vaisyllablebho	VAI SYLLABLE BHO
A5C3	v-vaisyllablebo	VAI SYLLABLE BO
A5C4	v-vaisyllablembo	VAI SYLLABLE MBO
A5C5	v-vaisyllablekpo	VAI SYLLABLE KPO
A5C6	v-vaisyllablemgbo	VAI SYLLABLE MGBO
A5C7	v-vaisyllablegbo	VAI SYLLABLE GBO
A5C8	v-vaisyllablegbon	VAI SYLLABLE GBON
A5C9	v-vaisyllablefo	VAI SYLLABLE FO
A5CA	v-vaisyllablevo	VAI SYLLABLE VO
A5CB	v-vaisyllableto	VAI SYLLABLE TO
A5CC	v-vaisyllabletho	VAI SYLLABLE THO
A5CD	v-vaisyllabledho	VAI SYLLABLE DHO
A5CE	v-vaisyllabledhho	VAI SYLLABLE DHHO
A5CF	v-vaisyllablelo	VAI SYLLABLE LO
A5D0	v-vaisyllablero	VAI SYLLABLE RO
A5D1	v-vaisyllabledo	VAI SYLLABLE DO
A5D2	v-vaisyllablendo	VAI SYLLABLE NDO
A5D3	v-vaisyllableso	VAI SYLLABLE SO
A5D4	v-vaisyllablesho	VAI SYLLABLE SHO
A5D5	v-vaisyllablezo	VAI SYLLABLE ZO
A5D6	v-vaisyllablezho	VAI SYLLABLE ZHO
A5D7	v-vaisyllableco	VAI SYLLABLE CO
A5D8	v-vaisyllablejo	VAI SYLLABLE JO
A5D9	v-vaisyllablenjo	VAI SYLLABLE NJO
A5DA	v-vaisyllableyo	VAI SYLLABLE YO
A5DB	v-vaisyllableko	VAI SYLLABLE KO
A5DC	v-vaisyllablenggo	VAI SYLLABLE NGGO
A5DD	v-vaisyllablego	VAI SYLLABLE GO
A5DE	v-vaisyllablemo	VAI SYLLABLE MO
A5DF	v-vaisyllableno	VAI SYLLABLE NO
A5E0	v-vaisyllablenyo	VAI SYLLABLE NYO
A5E1	v-vaisyllablee	VAI SYLLABLE E
A5E2	v-vaisyllableen	VAI SYLLABLE EN
A5E3	v-vaisyllablengen	VAI SYLLABLE NGEN
A5E4	v-vaisyllablehe	VAI SYLLABLE HE
A5E5	v-vaisyllablehen	VAI SYLLABLE HEN
A5E6	v-vaisyllablewe	VAI SYLLABLE WE
A5E7	v-vaisyllablewen	VAI SYLLABLE WEN
A5E8	v-vaisyllablepe	VAI SYLLABLE PE
A5E9	v-vaisyllablebhe	VAI SYLLABLE BHE
A5EA	v-vaisyllablebe	VAI SYLLABLE BE
A5EB	v-vaisyllablembe	VAI SYLLABLE MBE
A5EC	v-vaisyllablekpe	VAI SYLLABLE KPE
A5ED	v-vaisyllablekpen	VAI SYLLABLE KPEN
A5EE	v-vaisyllablemgbe	VAI SYLLABLE MGBE
A5EF	v-vaisyllablegbe	VAI SYLLABLE GBE
A5F0	v-vaisyllablegben	VAI SYLLABLE GBEN
A5F1	v-vaisyllablefe	VAI SYLLABLE FE
A5F2	v-vaisyllableve	VAI SYLLABLE VE
A5F3	v-vaisyllablete	VAI SYLLABLE TE
A5F4	v-vaisyllablethe	VAI SYLLABLE THE
A5F5	v-vaisyllabledhe	VAI SYLLABLE DHE
A5F6	v-vaisyllabledhhe	VAI SYLLABLE DHHE
A5F7	v-vaisyllablele	VAI SYLLABLE LE
A5F8	v-vaisyllablere	VAI SYLLABLE RE
A5F9	v-vaisyllablede	VAI SYLLABLE DE
A5FA	v-vaisyllablende	VAI SYLLABLE NDE
A5FB	v-vaisyllablese	VAI SYLLABLE SE
A5FC	v-vaisyllableshe	VAI SYLLABLE SHE
A5FD	v-vaisyllableze	VAI SYLLABLE ZE
A5FE	v-vaisyllablezhe	VAI SYLLABLE ZHE
A5FF	v-vaisyllablece	VAI SYLLABLE CE
A600	v-vaisyllableje	VAI SYLLABLE JE
A601	v-vaisyllablenje	VAI SYLLABLE NJE
A602	v-vaisyllableye	VAI SYLLABLE YE
A603	v-vaisyllableke	VAI SYLLABLE KE
A604	v-vaisyllablengge	VAI SYLLABLE NGGE
A605	v-vaisyllablenggen	VAI SYLLABLE NGGEN
A606	v-vaisyllablege	VAI SYLLABLE GE
A607	v-vaisyllablegen	VAI SYLLABLE GEN
A608	v-vaisyllableme	VAI SYLLABLE ME
A609	v-vaisyllablene	VAI SYLLABLE NE
A60A	v-vaisyllablenye	VAI SYLLABLE NYE
A60B	v-vaisyllableng	VAI SYLLABLE NG
A60C	v-vaisyllablelengthener	VAI SYLLABLE LENGTHENER
A60D	v-vaicomma	VAI COMMA
A60E	v-vaifullstop	VAI FULL STOP
A60F	v-vaiquestionmark	VAI QUESTION MARK
A610	v-vaisyllablendolefa	VAI SYLLABLE NDOLE FA
A611	v-vaisyllablendoleka	VAI SYLLABLE NDOLE KA
A612	v-vaisyllablendolesoo	VAI SYLLABLE NDOLE SOO
A613	v-vaisymbolfeeng	VAI SYMBOL FEENG
A614	v-vaisymbolkeeng	VAI SYMBOL KEENG
A615	v-vaisymbolting	VAI SYMBOL TING
A616	v-vaisymbolnii	VAI SYMBOL NII
A617	v-vaisymbolbang	VAI SYMBOL BANG
A618	v-vaisymbolfaa	VAI SYMBOL FAA
A619	v-vaisymboltaa	VAI SYMBOL TAA
A61A	v-vaisymboldang	VAI SYMBOL DANG
A61B	v-vaisymboldoong	VAI SYMBOL DOONG
A61C	v-vaisymbolkung	VAI SYMBOL KUNG
A61D	v-vaisymboltong	VAI SYMBOL TONG
A61E	v-vaisymboldoo	VAI SYMBOL DO-O
A61F	v-vaisymboljong	VAI SYMBOL JONG
A620	v-vaidigitzero	VAI DIGIT ZERO
A621	v-vaidigitone	VAI DIGIT ONE
A622	v-vaidigittwo	VAI DIGIT TWO
A623	v-vaidigitthree	VAI DIGIT THREE
A624	v-vaidigitfour	VAI DIGIT FOUR
A625	v-vaidigitfive	VAI DIGIT FIVE
A626	v-vaidigitsix	VAI DIGIT SIX
A627	v-vaidigitseven	VAI DIGIT SEVEN
A628	v-vaidigiteight	VAI DIGIT EIGHT
A629	v-vaidigitnine	VAI DIGIT NINE
A62A	v-vaisyllablendolema	VAI SYLLABLE NDOLE MA
A62B	v-vaisyllablendoledo	VAI SYLLABLE NDOLE DO
